Population,Latitude,Longitude,Year_start,Year_end,Altitude_class,Altitude,Run,Vial,Cold_recovery_time
Kingscliff,-28.28,153.12,2002,2002,low,10,3,2,
Kingscliff,-28.28,153.12,2002,2002,low,10,3,1,1
Kingscliff,-28.28,153.12,2002,2002,low,10,3,1,1
Kingscliff,-28.28,153.12,2002,2002,low,10,2,1,
Kingscliff,-28.28,153.12,2002,2002,low,10,3,2,5
Kingscliff,-28.28,153.12,2002,2002,low,10,2,1,4
Kingscliff,-28.28,153.12,2002,2002,low,10,4,1,0
Kingscliff,-28.28,153.12,2002,2002,low,10,4,1,
Kingscliff,-28.28,153.12,2002,2002,low,10,4,2,0
Kingscliff,-28.28,153.12,2002,2002,low,10,2,2,9
Kingscliff,-28.28,153.12,2002,2002,low,10,4,2,2
Kingscliff,-28.28,153.12,2002,2002,low,10,2,1,12
Kingscliff,-28.28,153.12,2002,2002,low,10,2,1,12
Kingscliff,-28.28,153.12,2002,2002,low,10,1,1,41
