Region,Population,Latitude,Longitude,Year_start,Year_end,Number_of_females,Total_number_offspring,Number_of_offspring_per_female,Maximum_number_of_offspring_per_female
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,2,8,4.0,6
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,5,183,36.6,155
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,3,40,13.3,18
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,4,374,93.5,132
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,1,2,2.0,2
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,2,142,71.0,92
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,3,91,30.3,81
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,0,0,,
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,2,9,4.5,6
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,2,83,41.5,82
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,3,97,32.3,61
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,5,404,80.8,209
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,4,61,15.3,26
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,4,167,41.8,71
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,0,0,,
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,5,487,97.4,170
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,3,233,77.7,85
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,2,135,67.5,134
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,0,0,,
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,1,173,173.0,173
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,5,335,67.0,122
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,0,0,,
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,3,169,56.3,136
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,4,397,99.3,219
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,5,885,177.0,249
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,3,231,77.0,227
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,3,94,31.3,78
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,3,332,110.7,185
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,5,276,55.2,193
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,2,12,6.0,11
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,5,185,37.0,54
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,0,0,,
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,3,160,53.3,103
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,3,453,151.0,221
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,3,192,64.0,141
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,5,333,66.6,111
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,2,285,142.5,190
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,1,4,4.0,4
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,0,0,,
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,4,124,31.0,58
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,3,327,109.0,147
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,5,321,64.2,171
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,3,116,38.7,79
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,3,98,32.7,74
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,2,110,55.0,61
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,4,429,107.3,212
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,2,122,61.0,121
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,4,114,28.5,42
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,4,461,115.3,287
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,1,3,3.0,3
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,3,378,126.0,217
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,3,159,53.0,86
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,3,178,59.3,96
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,3,139,46.3,88
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,0,0,,
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,3,195,65.0,117
Middle,Coffs_Harbour,-30.37,153.33,2005,2005,0,0,,
