Species,Population,Latitude,Longitude,Year_start,Year_end,Fly_number,Sex,Thorax_length,l2,3p,l3d,lpd,l3,w1,w2,w3,Wing_loading
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,23,female,1.002,1.663,0.519,1.457,1.976,1.976,0.853,1.197,0.962,1.971
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,24,female,1.205,1.856,0.587,1.548,2.144,2.142,0.946,1.317,1.082,1.778
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,25,female,1.161,1.780,0.615,1.506,2.121,2.120,0.931,1.260,1.075,1.826
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,26,female,0.972,1.501,0.485,1.305,1.789,1.789,0.772,1.082,0.879,1.841
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,27,female,0.956,1.524,0.508,1.311,1.820,1.817,0.834,1.099,0.964,1.900
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,28,female,1.141,1.755,0.571,1.492,2.063,2.062,0.921,1.257,1.046,1.807
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,29,female,0.983,1.600,0.502,1.430,1.932,1.930,0.819,1.126,0.952,1.963
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,30,female,0.924,1.551,0.534,1.348,1.881,1.881,0.859,1.160,0.956,2.035
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,31,female,1.152,1.733,0.553,1.472,2.024,2.024,0.890,1.210,1.068,1.757
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,32,female,1.043,1.564,0.481,1.413,1.893,1.892,0.820,1.142,0.914,1.813
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,33,female,0.939,1.531,0.523,1.307,1.829,1.829,0.813,1.112,0.928,1.948
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,34,female,1.074,1.692,0.549,1.493,2.042,2.040,0.910,1.271,1.001,1.900
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,35,female,1.074,1.720,0.561,1.478,2.038,2.038,0.904,1.269,1.001,1.896
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,36,female,0.937,1.546,0.510,1.369,1.878,1.878,0.850,1.126,0.975,2.005
D._buzzatii,Gogango_Creek,-23.77,150.17,1994,1994,37,female,1.093,1.655,0.524,1.428,1.952,1.951,0.881,1.204,1.016,1.785
