Population,Latitude,Longitude,Year_start,Year_end,Run,Treatment,Heat_knockdown_time
North_Tasmania,-41.367,147.32,2001,2001,6,constant,5.64
North_Tasmania,-41.367,147.32,2001,2001,4,constant,5.87
North_Tasmania,-41.367,147.32,2001,2001,2,constant,5.91
North_Tasmania,-41.367,147.32,2001,2001,7,winter,5.93
North_Tasmania,-41.367,147.32,2001,2001,4,winter,6.03
North_Tasmania,-41.367,147.32,2001,2001,7,winter,6.13
North_Tasmania,-41.367,147.32,2001,2001,6,winter,6.59
North_Tasmania,-41.367,147.32,2001,2001,1,winter,6.78
North_Tasmania,-41.367,147.32,2001,2001,2,winter,7.01
North_Tasmania,-41.367,147.32,2001,2001,7,constant,7.05
North_Tasmania,-41.367,147.32,2001,2001,8,summer,7.07
North_Tasmania,-41.367,147.32,2001,2001,3,constant,7.12
North_Tasmania,-41.367,147.32,2001,2001,4,winter,7.26
North_Tasmania,-41.367,147.32,2001,2001,7,winter,7.27
North_Tasmania,-41.367,147.32,2001,2001,3,winter,7.63
North_Tasmania,-41.367,147.32,2001,2001,5,constant,7.96
North_Tasmania,-41.367,147.32,2001,2001,1,summer,8.00
North_Tasmania,-41.367,147.32,2001,2001,3,constant,8.06
North_Tasmania,-41.367,147.32,2001,2001,4,constant,8.08
North_Tasmania,-41.367,147.32,2001,2001,1,summer,8.26
North_Tasmania,-41.367,147.32,2001,2001,5,constant,8.40
North_Tasmania,-41.367,147.32,2001,2001,1,winter,8.49
North_Tasmania,-41.367,147.32,2001,2001,6,constant,8.66
North_Tasmania,-41.367,147.32,2001,2001,7,summer,8.89
North_Tasmania,-41.367,147.32,2001,2001,5,winter,9.11
North_Tasmania,-41.367,147.32,2001,2001,4,summer,9.16
North_Tasmania,-41.367,147.32,2001,2001,4,constant,9.34
North_Tasmania,-41.367,147.32,2001,2001,1,summer,9.40
North_Tasmania,-41.367,147.32,2001,2001,5,constant,9.45
North_Tasmania,-41.367,147.32,2001,2001,6,summer,9.53
North_Tasmania,-41.367,147.32,2001,2001,8,summer,10.02
North_Tasmania,-41.367,147.32,2001,2001,3,summer,10.09
North_Tasmania,-41.367,147.32,2001,2001,7,summer,10.28
North_Tasmania,-41.367,147.32,2001,2001,1,constant,10.37
North_Tasmania,-41.367,147.32,2001,2001,6,summer,10.38
North_Tasmania,-41.367,147.32,2001,2001,8,constant,10.46
North_Tasmania,-41.367,147.32,2001,2001,6,winter,10.74
North_Tasmania,-41.367,147.32,2001,2001,4,summer,10.89
North_Tasmania,-41.367,147.32,2001,2001,7,summer,11.10
North_Tasmania,-41.367,147.32,2001,2001,7,constant,11.28
North_Tasmania,-41.367,147.32,2001,2001,5,summer,11.94
North_Tasmania,-41.367,147.32,2001,2001,2,summer,11.99
North_Tasmania,-41.367,147.32,2001,2001,7,constant,12.35
North_Tasmania,-41.367,147.32,2001,2001,1,constant,12.43
North_Tasmania,-41.367,147.32,2001,2001,8,constant,12.51
North_Tasmania,-41.367,147.32,2001,2001,2,winter,12.51
North_Tasmania,-41.367,147.32,2001,2001,2,constant,12.61
North_Tasmania,-41.367,147.32,2001,2001,1,constant,12.65
North_Tasmania,-41.367,147.32,2001,2001,6,summer,12.71
North_Tasmania,-41.367,147.32,2001,2001,2,summer,12.81
North_Tasmania,-41.367,147.32,2001,2001,2,summer,12.92
North_Tasmania,-41.367,147.32,2001,2001,5,summer,13.01
North_Tasmania,-41.367,147.32,2001,2001,3,constant,13.26
North_Tasmania,-41.367,147.32,2001,2001,3,summer,13.65
North_Tasmania,-41.367,147.32,2001,2001,6,constant,13.68
North_Tasmania,-41.367,147.32,2001,2001,6,summer,14.32
Rainbow_Beach,-26.000,152.90,2001,2001,5,winter,3.29
Rainbow_Beach,-26.000,152.90,2001,2001,8,winter,3.34
Rainbow_Beach,-26.000,152.90,2001,2001,3,winter,3.60
Rainbow_Beach,-26.000,152.90,2001,2001,7,winter,3.86
Rainbow_Beach,-26.000,152.90,2001,2001,4,winter,4.30
Rainbow_Beach,-26.000,152.90,2001,2001,6,constant,4.45
Rainbow_Beach,-26.000,152.90,2001,2001,6,winter,4.77
Rainbow_Beach,-26.000,152.90,2001,2001,4,winter,5.19
Rainbow_Beach,-26.000,152.90,2001,2001,4,winter,5.79
Rainbow_Beach,-26.000,152.90,2001,2001,5,winter,6.25
Rainbow_Beach,-26.000,152.90,2001,2001,3,winter,6.58
Rainbow_Beach,-26.000,152.90,2001,2001,2,winter,6.84
Rainbow_Beach,-26.000,152.90,2001,2001,7,winter,6.87
Rainbow_Beach,-26.000,152.90,2001,2001,2,winter,7.07
Rainbow_Beach,-26.000,152.90,2001,2001,7,constant,7.10
Rainbow_Beach,-26.000,152.90,2001,2001,7,winter,7.38
Rainbow_Beach,-26.000,152.90,2001,2001,8,winter,7.42
Rainbow_Beach,-26.000,152.90,2001,2001,6,summer,7.59
Rainbow_Beach,-26.000,152.90,2001,2001,6,constant,7.69
Rainbow_Beach,-26.000,152.90,2001,2001,1,winter,7.78
Rainbow_Beach,-26.000,152.90,2001,2001,2,constant,7.79
Rainbow_Beach,-26.000,152.90,2001,2001,1,summer,7.82
Rainbow_Beach,-26.000,152.90,2001,2001,5,constant,8.18
Rainbow_Beach,-26.000,152.90,2001,2001,5,constant,8.45
Rainbow_Beach,-26.000,152.90,2001,2001,1,constant,8.50
Rainbow_Beach,-26.000,152.90,2001,2001,2,constant,8.51
Rainbow_Beach,-26.000,152.90,2001,2001,2,summer,8.62
Rainbow_Beach,-26.000,152.90,2001,2001,6,winter,8.73
Rainbow_Beach,-26.000,152.90,2001,2001,2,constant,9.04
Rainbow_Beach,-26.000,152.90,2001,2001,5,constant,9.22
Rainbow_Beach,-26.000,152.90,2001,2001,7,summer,9.23
Rainbow_Beach,-26.000,152.90,2001,2001,3,constant,9.24
Rainbow_Beach,-26.000,152.90,2001,2001,3,winter,9.32
Rainbow_Beach,-26.000,152.90,2001,2001,1,summer,9.36
Rainbow_Beach,-26.000,152.90,2001,2001,1,constant,9.45
Rainbow_Beach,-26.000,152.90,2001,2001,1,winter,9.48
Rainbow_Beach,-26.000,152.90,2001,2001,1,summer,9.52
Rainbow_Beach,-26.000,152.90,2001,2001,5,winter,10.06
Rainbow_Beach,-26.000,152.90,2001,2001,3,constant,10.14
Rainbow_Beach,-26.000,152.90,2001,2001,5,summer,10.25
Rainbow_Beach,-26.000,152.90,2001,2001,2,constant,10.51
Rainbow_Beach,-26.000,152.90,2001,2001,1,winter,10.77
Rainbow_Beach,-26.000,152.90,2001,2001,2,winter,11.00
Rainbow_Beach,-26.000,152.90,2001,2001,6,winter,11.29
Rainbow_Beach,-26.000,152.90,2001,2001,6,summer,11.36
Rainbow_Beach,-26.000,152.90,2001,2001,1,constant,11.51
Rainbow_Beach,-26.000,152.90,2001,2001,2,summer,11.60
Rainbow_Beach,-26.000,152.90,2001,2001,3,summer,11.62
Rainbow_Beach,-26.000,152.90,2001,2001,4,summer,11.82
Rainbow_Beach,-26.000,152.90,2001,2001,4,constant,11.87
Rainbow_Beach,-26.000,152.90,2001,2001,4,summer,12.01
Rainbow_Beach,-26.000,152.90,2001,2001,7,constant,12.04
Rainbow_Beach,-26.000,152.90,2001,2001,7,summer,12.22
Rainbow_Beach,-26.000,152.90,2001,2001,4,constant,12.25
Rainbow_Beach,-26.000,152.90,2001,2001,5,summer,12.31
Rainbow_Beach,-26.000,152.90,2001,2001,3,summer,12.32
Rainbow_Beach,-26.000,152.90,2001,2001,6,summer,12.35
Rainbow_Beach,-26.000,152.90,2001,2001,6,constant,12.80
Rainbow_Beach,-26.000,152.90,2001,2001,4,summer,12.81
Rainbow_Beach,-26.000,152.90,2001,2001,7,summer,13.14
Rainbow_Beach,-26.000,152.90,2001,2001,8,summer,13.35
Rainbow_Beach,-26.000,152.90,2001,2001,3,summer,13.40
Rainbow_Beach,-26.000,152.90,2001,2001,6,constant,13.50
Rainbow_Beach,-26.000,152.90,2001,2001,7,constant,13.81
Rainbow_Beach,-26.000,152.90,2001,2001,4,constant,14.08
Rainbow_Beach,-26.000,152.90,2001,2001,3,constant,14.21
Rainbow_Beach,-26.000,152.90,2001,2001,7,constant,14.96
Rainbow_Beach,-26.000,152.90,2001,2001,8,summer,15.41
Rainbow_Beach,-26.000,152.90,2001,2001,3,summer,17.08
Rainbow_Beach,-26.000,152.90,2001,2001,5,summer,18.11
Rainbow_Beach,-26.000,152.90,2001,2001,2,summer,18.71
South_Tasmania,-43.067,147.12,2001,2001,8,winter,1.57
South_Tasmania,-43.067,147.12,2001,2001,3,winter,2.48
South_Tasmania,-43.067,147.12,2001,2001,2,winter,2.57
South_Tasmania,-43.067,147.12,2001,2001,8,constant,2.58
South_Tasmania,-43.067,147.12,2001,2001,5,winter,3.16
South_Tasmania,-43.067,147.12,2001,2001,1,winter,3.71
