Population,Latitude,Longitude,Year_start,Year_end,Altitude_class,Altitude,Treatment,Run,Vial,Heat_knockdown_time
Springbrook,-28.23,153.27,2002,2002,high,1031,unhardened,13,2,8
Springbrook,-28.23,153.27,2002,2002,high,1031,unhardened,14,1,18
Springbrook,-28.23,153.27,2002,2002,high,1031,unhardened,14,2,18
Springbrook,-28.23,153.27,2002,2002,high,1031,unhardened,15,1,15
Springbrook,-28.23,153.27,2002,2002,high,1031,unhardened,15,2,10
Springbrook,-28.23,153.27,2002,2002,high,1031,unhardened,16,1,22
Springbrook,-28.23,153.27,2002,2002,high,1031,unhardened,16,2,13
Springbrook,-28.23,153.27,2002,2002,high,1031,unhardened,17,1,13
Springbrook,-28.23,153.27,2002,2002,high,1031,unhardened,17,2,17
Springbrook,-28.23,153.27,2002,2002,high,1031,unhardened,18,1,14
Springbrook,-28.23,153.27,2002,2002,high,1031,unhardened,18,2,15
Kingscliff,-28.28,153.12,2002,2002,low,10,hardened,1,1,14
Kingscliff,-28.28,153.12,2002,2002,low,10,hardened,1,2,17
Kingscliff,-28.28,153.12,2002,2002,low,10,hardened,2,1,16
Kingscliff,-28.28,153.12,2002,2002,low,10,hardened,2,2,14
Kingscliff,-28.28,153.12,2002,2002,low,10,hardened,3,1,20
Kingscliff,-28.28,153.12,2002,2002,low,10,hardened,3,2,28
Kingscliff,-28.28,153.12,2002,2002,low,10,hardened,4,1,26
Kingscliff,-28.28,153.12,2002,2002,low,10,hardened,4,2,18
Kingscliff,-28.28,153.12,2002,2002,low,10,hardened,5,1,16
Kingscliff,-28.28,153.12,2002,2002,low,10,hardened,5,2,15
Kingscliff,-28.28,153.12,2002,2002,low,10,hardened,6,1,17
Kingscliff,-28.28,153.12,2002,2002,low,10,hardened,6,2,12
Kingscliff,-28.28,153.12,2002,2002,low,10,hardened,7,1,23
Kingscliff,-28.28,153.12,2002,2002,low,10,hardened,7,2,13
Kingscliff,-28.28,153.12,2002,2002,low,10,hardened,8,1,14
Kingscliff,-28.28,153.12,2002,2002,low,10,hardened,8,2,18
Kingscliff,-28.28,153.12,2002,2002,low,10,hardened,9,1,19
Kingscliff,-28.28,153.12,2002,2002,low,10,hardened,9,2,9
Kingscliff,-28.28,153.12,2002,2002,low,10,hardened,10,1,20
Kingscliff,-28.28,153.12,2002,2002,low,10,hardened,10,2,17
Kingscliff,-28.28,153.12,2002,2002,low,10,hardened,11,1,18
Kingscliff,-28.28,153.12,2002,2002,low,10,hardened,11,2,15
Kingscliff,-28.28,153.12,2002,2002,low,10,hardened,12,1,11
Kingscliff,-28.28,153.12,2002,2002,low,10,hardened,12,2,11
Kingscliff,-28.28,153.12,2002,2002,low,10,hardened,13,1,24
Kingscliff,-28.28,153.12,2002,2002,low,10,hardened,13,2, 
Kingscliff,-28.28,153.12,2002,2002,low,10,hardened,14,1,18
Kingscliff,-28.28,153.12,2002,2002,low,10,hardened,14,2,13
Kingscliff,-28.28,153.12,2002,2002,low,10,hardened,15,1,14
Kingscliff,-28.28,153.12,2002,2002,low,10,hardened,15,2,18
Kingscliff,-28.28,153.12,2002,2002,low,10,hardened,16,1,21
Kingscliff,-28.28,153.12,2002,2002,low,10,hardened,16,2,12
Kingscliff,-28.28,153.12,2002,2002,low,10,hardened,17,1,15
Kingscliff,-28.28,153.12,2002,2002,low,10,hardened,17,2,15
Kingscliff,-28.28,153.12,2002,2002,low,10,hardened,18,1, 
Kingscliff,-28.28,153.12,2002,2002,low,10,hardened,18,2, 
Kingscliff,-28.28,153.12,2002,2002,low,10,unhardened,1,1,14
Kingscliff,-28.28,153.12,2002,2002,low,10,unhardened,1,2,15
Kingscliff,-28.28,153.12,2002,2002,low,10,unhardened,2,1,17
Kingscliff,-28.28,153.12,2002,2002,low,10,unhardened,2,2,17
Kingscliff,-28.28,153.12,2002,2002,low,10,unhardened,3,1,13
Kingscliff,-28.28,153.12,2002,2002,low,10,unhardened,3,2,14
Kingscliff,-28.28,153.12,2002,2002,low,10,unhardened,4,1,15
Kingscliff,-28.28,153.12,2002,2002,low,10,unhardened,4,2,7
Kingscliff,-28.28,153.12,2002,2002,low,10,unhardened,5,1,19
Kingscliff,-28.28,153.12,2002,2002,low,10,unhardened,5,2,14
Kingscliff,-28.28,153.12,2002,2002,low,10,unhardened,6,1,28
Kingscliff,-28.28,153.12,2002,2002,low,10,unhardened,6,2,21
Kingscliff,-28.28,153.12,2002,2002,low,10,unhardened,7,1,8
Kingscliff,-28.28,153.12,2002,2002,low,10,unhardened,7,2,7
Kingscliff,-28.28,153.12,2002,2002,low,10,unhardened,8,1,26
Kingscliff,-28.28,153.12,2002,2002,low,10,unhardened,8,2,14
Kingscliff,-28.28,153.12,2002,2002,low,10,unhardened,9,1,14
Kingscliff,-28.28,153.12,2002,2002,low,10,unhardened,9,2,11
Kingscliff,-28.28,153.12,2002,2002,low,10,unhardened,10,1,20
Kingscliff,-28.28,153.12,2002,2002,low,10,unhardened,10,2,23
Kingscliff,-28.28,153.12,2002,2002,low,10,unhardened,11,1,11
Kingscliff,-28.28,153.12,2002,2002,low,10,unhardened,11,2,17
Kingscliff,-28.28,153.12,2002,2002,low,10,unhardened,12,1,13
Kingscliff,-28.28,153.12,2002,2002,low,10,unhardened,12,2,10
Kingscliff,-28.28,153.12,2002,2002,low,10,unhardened,13,1,16
Kingscliff,-28.28,153.12,2002,2002,low,10,unhardened,13,2,13
Kingscliff,-28.28,153.12,2002,2002,low,10,unhardened,14,1,11
Kingscliff,-28.28,153.12,2002,2002,low,10,unhardened,14,2,10
Kingscliff,-28.28,153.12,2002,2002,low,10,unhardened,15,1,10
Kingscliff,-28.28,153.12,2002,2002,low,10,unhardened,15,2,22
Kingscliff,-28.28,153.12,2002,2002,low,10,unhardened,16,1,9
Kingscliff,-28.28,153.12,2002,2002,low,10,unhardened,16,2,9
Kingscliff,-28.28,153.12,2002,2002,low,10,unhardened,17,1,18
Kingscliff,-28.28,153.12,2002,2002,low,10,unhardened,17,2,11
Kingscliff,-28.28,153.12,2002,2002,low,10,unhardened,18,1,10
Kingscliff,-28.28,153.12,2002,2002,low,10,unhardened,18,2,13
Coffs_Harbour,-30.37,153.10,2002,2002,low,14,hardened,1,1,11
